# RefractiveIndex.INFO Si/Franta-20C; Franta et al., Appl. Surf. Sci. 421, 405-419 (2017)
# https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data/main/Si/nk/Franta-20C.yml
# energy_eV,wavelength_um,n,k
0.00399996768647,309.963,3.41727349009,5.68422980465e-05
0.00400918992401,309.25,3.41736453425,5.68370263449e-05
0.00401842873672,308.539,3.4173127065,5.68342120423e-05
0.00402769714354,307.829,3.41727258311,5.6831284198e-05
0.00403698211454,307.121,3.4173417849,5.68266195802e-05
0.00404628358272,306.415,3.41732885996,5.68234021472e-05
0.004055614746,305.71,3.41727764322,5.68209029279e-05
0.00406496239103,305.007,3.41729491786,5.68173465176e-05
0.00407432644772,304.306,3.41729858064,5.68140982425e-05
0.00408372029538,303.606,3.4172722105,5.68114311877e-05
0.00409314404751,302.907,3.41729221005,5.68080753052e-05
0.00410257066751,302.211,3.41730104906,5.68049871744e-05
0.00411202716937,301.516,3.41729840232,5.6802172307e-05
0.00412151366589,300.822,3.41726880414,5.67998878768e-05
0.00413101650618,300.13,3.41732926471,5.67961892059e-05
0.00414053561314,299.44,3.41732140134,5.67937089065e-05
0.00415008479972,298.751,3.41730546984,5.67914455929e-05
0.00415965022277,298.064,3.41732632027,5.6788654083e-05
0.00416923180184,297.379,3.41731114937,5.67865444024e-05
0.00417884353966,296.695,3.41729307519,5.67845663302e-05
0.00418848554788,296.012,3.41732687709,5.67818098052e-05
0.00419812950849,295.332,3.41731686308,5.67798650513e-05
0.00420781798189,294.652,3.41731808095,5.67778175502e-05
0.00421750823709,293.975,3.41730286545,5.67761271289e-05
0.00422722881428,293.299,3.41730503638,5.6774232063e-05
0.00423697982394,292.624,3.41734295856,5.67718274654e-05
0.0042467468308,291.951,3.41730278694,5.67708048254e-05
0.00425654435782,291.279,3.4173086643,5.67691019427e-05
0.00426634315406,290.61,3.41730330686,5.67676706483e-05
0.00427618716911,289.941,3.41730119653,5.67662705529e-05
0.00428604708339,289.274,3.41730937013,5.67647849639e-05
0.00429592280213,288.609,3.41732604919,5.67632436325e-05
0.00430582918266,287.945,3.41734298139,5.67617838389e-05
0.00431575131142,287.283,3.41729234588,5.6761532272e-05
0.00432570418181,286.622,3.41731059462,5.67602226695e-05
0.00433567274088,285.963,3.41732073259,5.67591341355e-05
0.00434567211931,285.305,3.41730514311,5.67585594673e-05
0.00435568712344,284.649,3.41730437565,5.67578253799e-05
0.00436573302253,283.994,3.41731887987,5.67569246306e-05
0.00437579448086,283.341,3.41730661229,5.67565557259e-05
0.00438587139269,282.69,3.41730689384,5.67560658183e-05
0.00439599482341,282.039,3.4172944332,5.67558751841e-05
0.00440611812034,281.391,3.41734408085,5.67547409187e-05
0.004416272419,280.744,3.41731338333,5.67550291358e-05
0.00442645782548,280.098,3.41732909627,5.6754634905e-05
0.00443665856993,279.454,3.41730598455,5.6754974046e-05
0.00444689048854,278.811,3.41731530996,5.67548632813e-05
0.00445713766402,278.17,3.41732349818,5.67548604553e-05
0.00446741607754,277.53,3.41729028396,5.67556345433e-05
0.00447770966297,276.892,3.41729489432,5.67558699764e-05
0.00448803454779,276.255,3.41731923368,5.67558675332e-05
0.00449839083663,275.619,3.41733938256,5.67560247286e-05
0.00450874584161,274.986,3.41732234117,5.67568898888e-05
0.00451914862969,274.353,3.41730648299,5.67578259598e-05
0.00452956643602,273.722,3.41731493985,5.67584489994e-05
